"avg_rt","beep_touchOffset","count_committed","count_valid_trial","cursor_x","cursor_y","datetime","eye_move","fix_x","reach_duration","response_time_target_mouse_response","subject_nr","subject_parity","targets_file","time_touch_offset","touch_x","x","y"
"340.011954308","171.804189682","0","0","176","92","Thu 18 Jul 2019 13:39:09 BST","NA","-900","340.402841568","108.605861664","0","even","pointingTask_targets_radial7_right.csv","1015.91897011","-932","128","126"
"215.44522047","193.955183029","1","1","134","-193","Thu 18 Jul 2019 13:39:09 BST","NA","-900","292.620897293","89.6849632263","0","even","pointingTask_targets_radial7_right.csv","1015.93112946","-932","128","-126"
"176.774660746","171.524047852","2","2","484","-70","Thu 18 Jul 2019 13:39:09 BST","NA","-900","264.85991478","61.7830753326","0","even","pointingTask_targets_radial7_right.csv","1015.18297195","-932","438","0"
"162.83762455","158.23507309","3","3","38","-64","Thu 18 Jul 2019 13:39:09 BST","NA","-900","273.917913437","71.1770057678","0","even","pointingTask_targets_radial7_right.csv","1015.81501961","-932","136","0"
"150.349497795","166.605949402","4","4","161","-153","Thu 18 Jul 2019 13:39:09 BST","NA","-900","236.027002335","33.0510139465","0","even","pointingTask_targets_radial7_right.csv","1022.43590355","-932","128","-126"
"134.781161944","173.676013947","5","5","127","123","Thu 18 Jul 2019 13:39:09 BST","NA","-900","274.470090866","70.9779262543","0","even","pointingTask_targets_radial7_right.csv","1002.22706795","-932","128","126"
"128.787858146","159.031152725","6","6","655","130","Thu 18 Jul 2019 13:39:09 BST","NA","-900","312.030792236","109.230041504","0","even","pointingTask_targets_radial7_right.csv","1016.45612717","-932","728","200"
"128.911614418","145.815134048","7","7","640","-148","Thu 18 Jul 2019 13:39:09 BST","NA","-900","255.326032639","52.4649620056","0","even","pointingTask_targets_radial7_right.csv","1003.64589691","-932","740","0"
"123.91254637","188.303947449","8","8","513","113","Thu 18 Jul 2019 13:39:09 BST","NA","-900","340.131044388","136.783838272","0","even","pointingTask_targets_radial7_right.csv","1010.85615158","-932","728","200"
"120.008289814","189.841985703","9","9","708","-292","Thu 18 Jul 2019 13:39:09 BST","NA","-900","283.501148224","80.4839134216","0","even","pointingTask_targets_radial7_right.csv","1013.51213455","-932","728","-200"
"114.192073995","144.225120544","10","10","673","111","Thu 18 Jul 2019 13:39:09 BST","NA","-900","302.38699913","99.2770195007","0","even","pointingTask_targets_radial7_right.csv","1004.75788116","-932","728","200"
"107.915679614","164.017915726","11","11","691","-49","Thu 18 Jul 2019 13:39:09 BST","NA","-900","273.864030838","70.5778598785","0","even","pointingTask_targets_radial7_right.csv","1018.95403862","-932","740","0"
"107.142851903","186.581850052","12","12","357","-218","Thu 18 Jul 2019 13:39:09 BST","NA","-900","311.670064926","108.249902725","0","even","pointingTask_targets_radial7_right.csv","1015.85102081","-932","428","-163"
"146.373867989","220.150947571","13","13","213","-7","Thu 18 Jul 2019 13:39:09 BST","NA","-900","283.535957336","79.7860622406","0","even","pointingTask_targets_radial7_right.csv","1007.11011887","-932","136","0"
"213.455438614","178.177833557","14","14","401","142","Thu 18 Jul 2019 13:39:09 BST","NA","-900","320.924043655","117.998838425","0","even","pointingTask_targets_radial7_right.csv","1003.86714935","-932","428","163"
"209.529004991","326.317071915","15","15","84","114","Thu 18 Jul 2019 13:39:09 BST","NA","-900","293.235063553","89.7328853607","0","even","pointingTask_targets_radial7_right.csv","1000.3619194","-932","128","126"
"201.611981672","251.670122147","16","16","118","-171","Thu 18 Jul 2019 13:39:09 BST","NA","-900","264.519929886","60.6150627136","0","even","pointingTask_targets_radial7_right.csv","1015.77615738","-932","128","-126"
"196.008284887","194.657087326","17","17","639","-254","Thu 18 Jul 2019 13:39:09 BST","NA","-900","321.554899216","118.516921997","0","even","pointingTask_targets_radial7_right.csv","1013.91577721","-932","728","-200"
"189.136116128","230.246067047","18","18","454","-278","Thu 18 Jul 2019 13:39:09 BST","NA","-900","320.985078812","118.072986603","0","even","pointingTask_targets_radial7_right.csv","1010.76197624","-932","428","-163"
"183.104538918","193.28212738","19","19","357","-12","Thu 18 Jul 2019 13:39:09 BST","NA","-900","320.960998535","117.877960205","0","even","pointingTask_targets_radial7_right.csv","1005.00416756","-932","438","0"
"195.622131938","179.218053818","20","20","722","-8","Thu 18 Jul 2019 13:39:09 BST","NA","-900","349.069833755","145.884037018","0","even","pointingTask_targets_radial7_right.csv","1003.82709503","-932","740","0"
"206.66632869","205.998897552","21","21","377","-178","Thu 18 Jul 2019 13:39:09 BST","NA","-900","378.327131271","174.305915833","0","even","pointingTask_targets_radial7_right.csv","1020.45512199","-932","428","-163"
"205.473879109","171.074867249","22","22","409","-15","Thu 18 Jul 2019 13:39:09 BST","NA","-900","311.73992157","108.335971832","0","even","pointingTask_targets_radial7_right.csv","1016.57700539","-932","438","0"
"202.369401852","183.145046234","23","23","113","-33","Thu 18 Jul 2019 13:39:09 BST","NA","-900","283.890008926","80.7869434357","0","even","pointingTask_targets_radial7_right.csv","1004.41408157","-932","136","0"
"200.276489258","177.714109421","24","24","343","123","Thu 18 Jul 2019 13:39:09 BST","NA","-900","311.89084053","109.107017517","0","even","pointingTask_targets_radial7_right.csv","1015.5069828","-932","428","163"
"193.899681935","169.430017471","25","25","291","119","Thu 18 Jul 2019 13:39:09 BST","NA","-900","265.137910843","62.108039856","0","even","pointingTask_targets_radial7_right.csv","1016.33691788","-932","428","163"
"194.248380484","195.335149765","26","26","591","-247","Thu 18 Jul 2019 13:39:09 BST","NA","-900","273.916006088","70.6930160522","0","even","pointingTask_targets_radial7_right.csv","1015.90108871","-932","728","-200"
"202.449496303","150.83193779","27","27","701","-29","Thu 18 Jul 2019 13:39:09 BST","NA","-900","311.387062073","108.281135559","0","even","pointingTask_targets_radial7_right.csv","1002.36606598","-932","740","0"
"200.498774134","177.740812302","28","28","684","-96","Thu 18 Jul 2019 13:39:09 BST","NA","-900","292.95706749","89.88904953","0","even","pointingTask_targets_radial7_right.csv","1019.68884468","-932","740","0"
"197.276147207","186.645030975","29","29","48","26","Thu 18 Jul 2019 13:39:09 BST","NA","-900","274.626016617","71.6459751129","0","even","pointingTask_targets_radial7_right.csv","1002.8488636","-932","128","126"
"195.404175789","165.180921555","30","30","760","-254","Thu 18 Jul 2019 13:39:09 BST","NA","-900","311.38586998","107.501029968","0","even","pointingTask_targets_radial7_right.csv","1016.09492302","-932","728","-200"
"192.405298352","178.732872009","31","31","102","-179","Thu 18 Jul 2019 13:39:09 BST","NA","-900","274.331092834","70.6989765167","0","even","pointingTask_targets_radial7_right.csv","1015.85507393","-932","128","-126"
"189.568440119","154.815912247","32","32","157","72","Thu 18 Jul 2019 13:39:09 BST","NA","-900","274.444103241","70.9660053253","0","even","pointingTask_targets_radial7_right.csv","1002.38895416","-932","128","126"
"186.349423493","183.82191658","33","33","368","-233","Thu 18 Jul 2019 13:39:09 BST","NA","-900","283.691167831","80.5349349976","0","even","pointingTask_targets_radial7_right.csv","1016.39008522","-932","428","-163"
"183.125884192","176.222085953","34","34","393","-47","Thu 18 Jul 2019 13:39:09 BST","NA","-900","293.210983276","89.8640155792","0","even","pointingTask_targets_radial7_right.csv","1015.7430172","-932","438","0"
"192.189385494","151.791095734","35","35","602","208","Thu 18 Jul 2019 13:39:09 BST","NA","-900","349.238872528","146.16894722","0","even","pointingTask_targets_radial7_right.csv","1015.65408707","-932","728","200"
"193.488388448","193.457126617","36","36","358","129","Thu 18 Jul 2019 13:39:09 BST","NA","-900","340.533971786","137.460947037","0","even","pointingTask_targets_radial7_right.csv","1015.71702957","-932","428","163"
"202.074257951","131.3560009","37","37","476","-182","Thu 18 Jul 2019 13:39:09 BST","NA","-900","284.353017807","81.3579559326","0","even","pointingTask_targets_radial7_right.csv","1015.40994644","-932","428","-163"
"205.100686122","203.571796417","38","38","116","-170","Thu 18 Jul 2019 13:39:09 BST","NA","-900","283.300161362","79.7989368439","0","even","pointingTask_targets_radial7_right.csv","1001.63984299","-932","128","-126"
"206.959491968","146.34180069","39","39","395","151","Thu 18 Jul 2019 13:39:09 BST","NA","-900","303.13706398","99.9789237976","0","even","pointingTask_targets_radial7_right.csv","1015.62809944","-932","428","163"
"205.609405913","182.382106781","40","40","592","197","Thu 18 Jul 2019 13:39:09 BST","NA","-900","283.546924591","79.9639225006","0","even","pointingTask_targets_radial7_right.csv","1002.36797333","-932","728","200"
"203.542908033","180.637121201","41","41","57","80","Thu 18 Jul 2019 13:39:09 BST","NA","-900","255.995035172","52.4439811707","0","even","pointingTask_targets_radial7_right.csv","1005.05781174","-932","128","126"
"200.824454773","181.021928787","42","42","137","-54","Thu 18 Jul 2019 13:39:09 BST","NA","-900","284.145116806","80.8508396149","0","even","pointingTask_targets_radial7_right.csv","1015.42305946","-932","136","0"
"204.857067628","155.067205429","43","43","462","-180","Thu 18 Jul 2019 13:39:09 BST","NA","-900","303.16901207","99.5619297028","0","even","pointingTask_targets_radial7_right.csv","1019.93107796","-932","428","-163"
"206.314712101","170.063018799","44","44","62","-51","Thu 18 Jul 2019 13:39:09 BST","NA","-900","283.818006516","80.6620121002","0","even","pointingTask_targets_radial7_right.csv","1015.64884186","-932","136","0"
"204.90568358","134.3729496","45","45","613","151","Thu 18 Jul 2019 13:39:09 BST","NA","-900","359.43198204","156.149864197","0","even","pointingTask_targets_radial7_right.csv","1001.27792358","-932","728","200"
"203.573828048","187.383890152","46","46","155","-181","Thu 18 Jul 2019 13:39:09 BST","NA","-900","302.052974701","98.7379550934","0","even","pointingTask_targets_radial7_right.csv","1008.45813751","-932","128","-126"
"203.110270202","153.898000717","47","47","613","-202","Thu 18 Jul 2019 13:39:09 BST","NA","-900","302.569150925","99.2760658264","0","even","pointingTask_targets_radial7_right.csv","1002.80594826","-932","728","-200"
"203.410467323","176.798820496","48","48","303","131","Thu 18 Jul 2019 13:39:09 BST","NA","-900","340.465068817","136.956930161","0","even","pointingTask_targets_radial7_right.csv","1015.61498642","-932","428","163"
"202.967717648","98.9661216736","49","49","738","-39","Thu 18 Jul 2019 13:39:09 BST","NA","-900","349.421024323","145.750045776","0","even","pointingTask_targets_radial7_right.csv","1003.07583809","-932","740","0"
"201.37619271","214.51997757","50","50","629","-238","Thu 18 Jul 2019 13:39:09 BST","NA","-900","312.433004379","109.169006348","0","even","pointingTask_targets_radial7_right.csv","1014.92285728","-932","728","-200"
"200.135091176","164.785146713","51","51","421","-65","Thu 18 Jul 2019 13:39:09 BST","NA","-900","321.041822433","117.764949799","0","even","pointingTask_targets_radial7_right.csv","1003.1979084","-932","438","0"
"198.699917433","171.406984329","52","52","372","-92","Thu 18 Jul 2019 13:39:09 BST","NA","-900","302.745819092","98.9139080048","0","even","pointingTask_targets_radial7_right.csv","1015.65790176","-932","438","0"
"198.031928804","139.518976212","53","53","153","-58","Thu 18 Jul 2019 13:39:09 BST","NA","-900","321.964025497","118.389129639","0","even","pointingTask_targets_radial7_right.csv","1015.71321487","-932","136","0"
"197.548864105","176.92899704","54","54","374","91","Thu 18 Jul 2019 13:39:09 BST","NA","-900","339.994907379","136.297941208","0","even","pointingTask_targets_radial7_right.csv","1015.63310623","-932","428","163"
"201.354912349","154.88910675","55","55","136","-157","Thu 18 Jul 2019 13:39:09 BST","NA","-900","284.275054932","80.6291103363","0","even","pointingTask_targets_radial7_right.csv","1010.80203056","-932","128","-126"
"201.127905595","194.694042206","56","56","627","-237","Thu 18 Jul 2019 13:39:09 BST","NA","-900","330.856084824","127.357959747","0","even","pointingTask_targets_radial7_right.csv","1015.67006111","-932","728","-200"
"206.835426133","728.44004631","57","57","612","-66","Thu 18 Jul 2019 13:39:09 BST","NA","-900","293.051958084","89.5180702209","0","even","pointingTask_targets_radial7_right.csv","1002.21896172","-932","740","0"
